city,date,temperature,humidity,wind_speed,pressure,rainfall
Lahore,2026-04-19 00:00:00,26.4,33,9.7,1006.0,0.0
Lahore,2026-04-19 01:00:00,26.0,37,17.6,1006.0,0.0
Lahore,2026-04-19 02:00:00,26.1,44,25.6,1006.0,0.0
Lahore,2026-04-19 03:00:00,25.2,48,26.6,1006.0,0.0
Lahore,2026-04-19 04:00:00,24.9,44,24.1,1006.0,0.0
Lahore,2026-04-19 05:00:00,24.5,45,22.7,1006.0,0.0
Lahore,2026-04-19 06:00:00,24.5,44,21.6,1006.0,0.0
Lahore,2026-04-19 07:00:00,26.2,39,19.8,1006.0,0.0
Lahore,2026-04-19 08:00:00,28.8,31,18.7,1006.0,0.0
Lahore,2026-04-19 09:00:00,30.9,27,17.3,1006.0,0.0
Lahore,2026-04-19 10:00:00,33.3,22,14.0,1006.0,0.0
Lahore,2026-04-19 11:00:00,34.9,20,12.2,1005.0,0.0
Lahore,2026-04-19 12:00:00,35.9,18,6.5,1005.0,0.0
Lahore,2026-04-19 13:00:00,37.1,16,8.3,1004.0,0.0
Lahore,2026-04-19 14:00:00,37.7,15,12.6,1003.0,0.0
Lahore,2026-04-19 15:00:00,37.8,15,18.7,1003.0,0.0
Lahore,2026-04-19 16:00:00,36.1,17,28.1,1003.0,0.0
Lahore,2026-04-19 17:00:00,32.9,24,21.6,1003.0,0.0
Lahore,2026-04-19 18:00:00,30.9,28,17.3,1004.0,0.0
Lahore,2026-04-19 19:00:00,28.0,33,18.0,1005.0,0.0
Lahore,2026-04-19 20:00:00,26.7,38,20.2,1006.0,0.0
Lahore,2026-04-19 21:00:00,25.6,41,19.8,1007.0,0.0
Lahore,2026-04-19 22:00:00,24.9,41,13.7,1006.0,0.0
Lahore,2026-04-19 23:00:00,24.2,42,12.6,1006.0,0.0
Lahore,2026-04-20 00:00:00,24.3,38,10.1,1007.0,0.0
Lahore,2026-04-20 01:00:00,23.8,38,6.5,1006.0,0.0
Lahore,2026-04-20 02:00:00,23.6,38,4.0,1006.0,0.0
Lahore,2026-04-20 03:00:00,23.5,38,5.8,1006.0,0.0
