city,date,temperature,humidity,wind_speed,pressure,rainfall,temp_lag_1,rain_lag_1,humidity_lag_1,temp_roll_3,rain_roll_3,hour,day,month,dayofweek,is_monsoon,temp_lag_24,rain_lag_24,temp_roll_24,rain_roll_72,is_peak_heat
Abbottabad,2026-04-21 01:00:00,26.0,65,16.6,1008.0,0.0,26.2,0.0,64.0,26.266666666666666,0.0,1,21,4,1,0,25.7,0.0,27.900000000000002,0.0,0
Abbottabad,2026-04-21 02:00:00,25.8,66,14.8,1007.0,0.0,26.0,0.0,65.0,26.0,0.0,2,21,4,1,0,25.5,0.0,27.912499999999998,0.0,0
Abbottabad,2026-04-21 03:00:00,25.5,68,15.8,1007.0,0.0,25.8,0.0,66.0,25.766666666666666,0.0,3,21,4,1,0,25.2,0.0,27.925,0.0,0
Abbottabad,2026-04-21 04:00:00,25.2,69,17.3,1007.0,0.0,25.5,0.0,68.0,25.5,0.0,4,21,4,1,0,25.0,0.0,27.933333333333337,0.0,0
Abbottabad,2026-04-21 05:00:00,25.1,70,18.7,1007.0,0.0,25.2,0.0,69.0,25.266666666666666,0.0,5,21,4,1,0,24.9,0.0,27.941666666666666,0.0,0
Abbottabad,2026-04-21 06:00:00,25.0,70,18.4,1008.0,0.0,25.1,0.0,70.0,25.099999999999998,0.0,6,21,4,1,0,24.7,0.0,27.954166666666666,0.0,0
Abbottabad,2026-04-21 07:00:00,25.4,68,18.4,1008.0,0.0,25.0,0.0,70.0,25.166666666666668,0.0,7,21,4,1,0,25.1,0.0,27.96666666666667,0.0,0
Abbottabad,2026-04-21 08:00:00,26.6,60,23.0,1009.0,0.0,25.4,0.0,68.0,25.666666666666668,0.0,8,21,4,1,0,26.5,0.0,27.97083333333333,0.0,0
Abbottabad,2026-04-21 09:00:00,27.9,53,23.4,1009.0,0.0,26.6,0.0,60.0,26.633333333333336,0.0,9,21,4,1,0,28.1,0.0,27.962500000000002,0.0,0
Abbottabad,2026-04-21 10:00:00,29.0,49,25.2,1009.0,0.0,27.9,0.0,53.0,27.833333333333332,0.0,10,21,4,1,0,29.4,0.0,27.945833333333336,0.0,0
Abbottabad,2026-04-21 11:00:00,29.9,46,27.7,1009.0,0.0,29.0,0.0,49.0,28.933333333333334,0.0,11,21,4,1,0,30.3,0.0,27.92916666666667,0.0,0
Abbottabad,2026-04-21 12:00:00,30.7,43,28.4,1008.0,0.0,29.9,0.0,46.0,29.866666666666664,0.0,12,21,4,1,0,31.1,0.0,27.912499999999998,0.0,1
Abbottabad,2026-04-21 13:00:00,31.0,42,30.6,1007.0,0.0,30.7,0.0,43.0,30.53333333333333,0.0,13,21,4,1,0,31.3,0.0,27.899999999999995,0.0,1
Abbottabad,2026-04-21 14:00:00,30.8,43,30.6,1007.0,0.0,31.0,0.0,42.0,30.833333333333332,0.0,14,21,4,1,0,31.6,0.0,27.86666666666667,0.0,1
Abbottabad,2026-04-21 15:00:00,30.6,44,31.0,1006.0,0.0,30.8,0.0,43.0,30.8,0.0,15,21,4,1,0,31.6,0.0,27.825000000000003,0.0,1
Abbottabad,2026-04-21 16:00:00,30.2,44,29.5,1006.0,0.0,30.6,0.0,44.0,30.53333333333333,0.0,16,21,4,1,0,31.1,0.0,27.787499999999998,0.0,1
Abbottabad,2026-04-21 17:00:00,29.6,46,28.1,1006.0,0.0,30.2,0.0,44.0,30.133333333333336,0.0,17,21,4,1,0,30.3,0.0,27.758333333333336,0.0,0
Abbottabad,2026-04-21 18:00:00,28.7,50,28.4,1006.0,0.0,29.6,0.0,46.0,29.5,0.0,18,21,4,1,0,29.3,0.0,27.733333333333334,0.0,0
Abbottabad,2026-04-21 19:00:00,27.8,55,27.4,1006.0,0.0,28.7,0.0,50.0,28.7,0.0,19,21,4,1,0,28.2,0.0,27.71666666666667,0.0,0
Abbottabad,2026-04-21 20:00:00,27.2,61,25.6,1007.0,0.0,27.8,0.0,55.0,27.900000000000002,0.0,20,21,4,1,0,27.5,0.0,27.70416666666667,0.0,0
Abbottabad,2026-04-21 21:00:00,27.0,65,23.4,1008.0,0.0,27.2,0.0,61.0,27.333333333333332,0.0,21,21,4,1,0,27.2,0.0,27.695833333333336,0.0,0
Abbottabad,2026-04-21 22:00:00,26.7,67,21.6,1008.0,0.0,27.0,0.0,65.0,26.96666666666667,0.0,22,21,4,1,0,26.9,0.0,27.6875,0.0,0
Abbottabad,2026-04-21 23:00:00,26.5,69,19.8,1008.0,0.0,26.7,0.0,67.0,26.73333333333333,0.0,23,21,4,1,0,26.6,0.0,27.683333333333334,0.0,0
Abbottabad,2026-04-22 00:00:00,26.2,71,18.0,1008.0,0.0,26.5,0.0,69.0,26.466666666666665,0.0,0,22,4,2,0,26.2,0.0,27.683333333333334,0.0,0
Abbottabad,2026-04-22 01:00:00,25.9,74,18.7,1008.0,0.0,26.2,0.0,71.0,26.2,0.0,1,22,4,2,0,26.0,0.0,27.679166666666664,0.0,0
